experiment,subject,first_type,pitch,ioi,tempo,tempo_range,loudness,type,true_score,response,rt,error,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,illusory_tempo,cooks
ITST,3,a,7,358,167.5977653631285,5,2,a,80.97360155738828,67,7550.909999990836,-13.973601557388278,0,17,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-3.514244812426085,-8.220972537379467,0.0006191915828163485
ITST,3,a,5,599,100.1669449081803,3,2,a,43.84378078116181,51,5721.209999872372,7.156219218838189,0,18,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,12.229756145095003,28.609415329339257,0.0020692842251459126
ITST,3,a,2,329,182.370820668693,5,1,a,87.06720173383901,91,5769.359999801964,3.9327982661609866,0,19,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,15.276054580565983,35.73570763832042,0.010389803789367514
ITST,3,a,7,652,92.02453987730061,2,1,a,37.727982709047225,6,5139.744999818504,-31.727982709047225,0,20,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-27.541565240288165,-64.4287645175591,0.015888000780611096
ITST,3,a,4,390,153.84615384615384,4,0,a,74.79787473312055,72,4284.014999866486,-2.797874733120551,0,21,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,6.765669663984909,15.827122887947967,0.0011167165913006005
ITST,3,a,5,843,71.17437722419929,1,1,a,19.194949373496982,0,3807.855000020936,-19.194949373496982,0,22,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-17.696817928010198,-41.39866797860896,0.013794136879607075
ITST,3,a,7,463,129.58963282937364,4,1,a,62.42097125758927,52,9843.485000077637,-10.420971257589272,0,23,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-2.65274314909356,-6.205637268157273,0.0002320648796396628
ITST,3,a,3,358,167.5977653631285,5,1,a,80.97360155738828,69,11115.624999860302,-11.973601557388278,0,24,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-1.5142448124260852,-3.542315826662687,0.0001591542686427515
ITST,3,a,2,425,141.1764705882353,4,0,a,68.5984388693479,60,7143.300000112504,-8.598438869347902,0,25,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,0.06585409476173965,0.15405435119259595,1.0296867685008056e-05
ITST,3,a,3,599,100.1669449081803,3,2,a,43.84378078116181,47,8284.690000116825,3.1562192188381886,0,26,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,8.229756145095003,19.252101907905693,0.0008495979687124139
ITST,3,a,5,710,84.50704225352112,2,1,a,31.580629700998873,48,5424.865000182763,16.419370299001127,0,27,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,19.714091148407697,46.11773242358996,0.008003784778256764
ITST,3,a,4,1000,60.0,1,1,a,6.875176187496734,0,3197.110000066459,-6.875176187496734,0,28,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-7.164074067764176,-16.75912160660846,0.004581313415164199
ITST,3,a,3,463,129.58963282937364,4,1,a,62.42097125758927,59,6798.210000153631,-3.4209712575892723,0,29,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,4.34725685090644,10.169661219351456,0.00023979711680352663
ITST,3,a,6,774,77.51937984496124,2,1,a,25.354902613380577,11,8191.224999958649,-14.354902613380577,0,30,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-11.963246837636163,-27.985962549433864,0.005277923702674135
ITST,3,a,6,710,84.50704225352112,2,0,p,31.580629700998873,44,11389.109999872744,12.419370299001127,1,31,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,15.714091148407697,36.76041900215641,0.0049075201842355655
ITST,3,a,2,390,153.84615384615384,4,1,p,74.79787473312055,73,6669.90500013344,-1.7978747331205511,1,32,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,7.765669663984909,18.166451243306355,0.0015106890211035373
ITST,3,a,5,599,100.1669449081803,3,1,p,43.84378078116181,35,10200.385000091046,-8.843780781161811,1,33,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-3.7702438549049972,-8.819838356394982,0.0003950832839162493
ITST,3,a,6,1000,60.0,1,0,p,6.875176187496734,0,2920.1400000602007,-6.875176187496734,1,34,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-7.164074067764176,-16.75912160660846,0.004581313415164199
ITST,3,a,4,550,109.0909090909091,3,0,p,50.0,51,4413.704999955371,1.0,1,35,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,6.966519622751356,16.29697689166288,0.0005624752265853243
ITST,3,a,5,358,167.5977653631285,5,0,p,80.97360155738828,78,3656.704999972135,-2.973601557388278,1,36,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,7.485755187573915,17.511639371562822,0.001813910219469262
ITST,3,a,6,550,109.0909090909091,3,0,p,50.0,50,7733.424999983981,0.0,1,37,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,5.966519622751356,13.95764853630449,0.00038964070870086537
ITST,3,a,5,918,65.359477124183,1,1,p,13.046873249910696,11,8456.13000006415,-2.0468732499106963,1,38,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-1.4405433143983863,-3.369903822494101,0.0004241582001321066
ITST,3,a,6,302,198.67549668874173,5,1,p,93.24415345434716,64,7894.554999889806,-29.244153454347156,1,39,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-17.004907116289786,-39.780061397372364,0.017789610616362393
ITST,3,a,2,550,109.0909090909091,3,2,p,50.0,51,7200.195000041276,1.0,1,40,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,6.966519622751356,16.29697689166288,0.0005624752265853243
ITST,3,a,3,358,167.5977653631285,5,2,p,80.97360155738828,50,15264.680000022054,-30.973601557388278,1,41,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-20.514244812426085,-47.989554578472095,0.016682543180244307
ITST,3,a,7,599,100.1669449081803,3,2,p,43.84378078116181,48,7174.099999945611,4.156219218838189,1,42,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,9.229756145095003,21.591430263264083,0.0011044485315004089
ITST,3,a,2,302,198.67549668874173,5,2,p,93.24415345434716,78,4782.070000190288,-15.244153454347156,1,43,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-3.004907116289786,-7.029464422354907,0.0006679246592850215
ITST,3,a,5,652,92.02453987730061,2,0,p,37.727982709047225,38,7031.994999852032,0.2720172909527747,1,44,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,4.458434759711835,10.429742853909366,0.0002061491991789133
ITST,3,a,7,302,198.67549668874173,5,2,p,93.24415345434716,70,5675.300000002608,-23.244153454347156,1,45,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-11.004907116289786,-25.744091265222025,0.007619881083883788
ITST,3,a,5,425,141.1764705882353,4,0,p,68.5984388693479,41,5128.654999891296,-27.598438869347902,1,46,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-18.93414590523826,-44.29318440061681,0.00911578766230723
ITST,3,a,3,504,119.04761904761905,3,2,p,56.30039424560527,52,5798.155000200495,-4.300394245605268,1,47,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,2.5800212022335245,6.035516755810726,4.6572547812913725e-05
ITST,3,a,4,843,71.17437722419929,1,2,p,19.194949373496982,2,5062.540000071749,-17.194949373496982,1,48,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-15.696817928010198,-36.72001126789218,0.011064494970466852
ITST,3,a,2,652,92.02453987730061,2,1,p,37.727982709047225,17,4460.870000068098,-20.727982709047225,1,49,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-16.541565240288165,-38.69615260861682,0.006050229176702855
ITST,3,a,4,425,141.1764705882353,4,1,p,68.5984388693479,72,3102.6099999435246,3.401561130652098,1,50,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,12.06585409476174,28.22599461549327,0.0030322095100891104
ITST,3,a,3,843,71.17437722419929,1,0,p,19.194949373496982,0,2588.35000009276,-19.194949373496982,1,51,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-17.696817928010198,-41.39866797860896,0.013794136879607075
ITST,3,a,6,390,153.84615384615384,4,2,p,74.79787473312055,57,5422.139999922365,-17.79787473312055,1,52,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-8.234330336015091,-19.26280244242788,0.002336445401747827
ITST,3,a,2,1000,60.0,1,0,p,6.875176187496734,0,3987.7949999645352,-6.875176187496734,1,53,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-7.164074067764176,-16.75912160660846,0.004581313415164199
ITST,3,a,7,710,84.50704225352112,2,0,p,31.580629700998873,24,10685.65999995917,-7.580629700998873,1,54,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-4.285908851592303,-10.026148105011389,0.0007288488463301707
ITST,3,a,3,390,153.84615384615384,4,2,p,74.79787473312055,52,4309.79000008665,-22.79787473312055,1,55,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-13.234330336015091,-30.95944421921983,0.005713569695851601
ITST,3,a,4,710,84.50704225352112,2,2,p,31.580629700998873,41,8795.395000139251,9.419370299001127,1,56,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,12.714091148407697,29.742433936081238,0.003079812747628444
ITST,3,a,7,390,153.84615384615384,4,0,p,74.79787473312055,64,2923.814999870956,-10.797874733120551,1,57,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-1.2343303360150912,-2.887503954919152,0.00010373173012449062
ITST,3,a,3,652,92.02453987730061,2,2,p,37.727982709047225,23,2994.265000103041,-14.727982709047225,1,58,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-10.541565240288165,-24.66018247646648,0.0026478419924268223
ITST,3,a,7,1000,60.0,1,2,p,6.875176187496734,0,3930.7550000958154,-6.875176187496734,1,59,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-7.164074067764176,-16.75912160660846,0.004581313415164199
ITST,3,a,4,302,198.67549668874173,5,0,p,93.24415345434716,100,3304.8199999611825,6.755846545652844,1,60,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,18.995092883710214,44.435759395529665,0.020488176173299014
ITST,3,a,6,390,153.84615384615384,4,2,a,74.79787473312055,75,5355.0449998583645,0.20212526687944887,2,61,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,9.765669663984909,22.845107954023135,0.0024768667621466924
